2021-02-20 09:00:00,5050.0,5145.0,4640.0,4670.0,2123363.63410687,10265074275.011518
2021-02-21 09:00:00,4700.0,6470.0,4680.0,5295.0,13834565.63021434,76211178809.78136
2021-02-22 09:00:00,5295.0,5580.0,3985.0,4600.0,3279000.8310257,15457907337.366255
2021-02-23 09:00:00,4600.0,4700.0,2880.0,3405.0,3053553.33567689,11041363670.60556
2021-02-24 09:00:00,3410.0,3700.0,3045.0,3560.0,2139311.66978496,7355682104.632012
2021-02-25 09:00:00,3560.0,6685.0,3510.0,4000.0,29812765.81778388,141413143441.85638
2021-02-26 09:00:00,4000.0,6780.0,3745.0,5300.0,42700170.1573142,230230974527.225
2021-02-27 09:00:00,5300.0,5420.0,4500.0,4640.0,4433350.6356068,21322402606.777435
2021-02-28 09:00:00,4630.0,4640.0,3750.0,4120.0,2009785.37606129,8264455981.548589
2021-03-01 09:00:00,4105.0,4950.0,3955.0,4615.0,7855770.12174712,35529559918.545494
2021-03-02 09:00:00,4615.0,5040.0,4410.0,4890.0,4962322.85778702,23853041240.38117
2021-03-03 09:00:00,4890.0,5180.0,4715.0,5130.0,2415740.9361786,11851607342.775053
2021-03-04 09:00:00,5150.0,6140.0,4870.0,5300.0,6009740.80593168,32334696682.80065
2021-03-05 09:00:00,5300.0,5575.0,4870.0,5450.0,1649486.60462221,8502492769.202812
2021-03-06 09:00:00,5450.0,5930.0,5025.0,5550.0,3099655.8016989,17380204837.500946
2021-03-07 09:00:00,5550.0,6100.0,5330.0,5845.0,2055553.39400883,11817112316.840145
2021-03-08 09:00:00,5845.0,6140.0,5595.0,6120.0,1990657.81354744,11669560653.599968
2021-03-09 09:00:00,6100.0,6485.0,5795.0,6460.0,1694553.7674926,10340969136.796175
2021-03-10 09:00:00,6460.0,7745.0,6010.0,6835.0,7571528.0262299,52999567104.86721
2021-03-11 09:00:00,6855.0,7240.0,6555.0,6875.0,1972825.14736843,13615203698.987438
2021-03-12 09:00:00,6885.0,7395.0,6405.0,6920.0,2465723.00280781,17095937418.798866
2021-03-13 09:00:00,6930.0,7920.0,6600.0,7445.0,3630487.76028491,26197809707.63296
2021-03-14 09:00:00,7440.0,8535.0,6920.0,7445.0,6732090.92615072,53028110380.66714
2021-03-15 09:00:00,7570.0,10200.0,7485.0,8505.0,17036018.40379099,153049155002.97964
2021-03-16 09:00:00,8540.0,8600.0,7350.0,8215.0,2254747.47555876,18173036650.51625
2021-03-17 09:00:00,8220.0,8370.0,6600.0,8340.0,1908210.26989408,14915768917.377256
2021-03-18 09:00:00,8340.0,8345.0,7690.0,8065.0,913631.17013376,7265424178.459981
2021-03-19 09:00:00,8060.0,8755.0,7700.0,8755.0,1505228.07557336,12324249296.499638
2021-03-20 09:00:00,8755.0,9905.0,7720.0,8035.0,4027821.33940439,36813815835.04383
2021-03-21 09:00:00,8035.0,8580.0,7410.0,8365.0,1733288.63572174,13883191481.694431
2021-03-22 09:00:00,8335.0,9070.0,7745.0,8215.0,2596533.76452498,22104979031.615086
2021-03-23 09:00:00,8210.0,8475.0,7170.0,7830.0,1351988.9755281,10374288066.579027
2021-03-24 09:00:00,7830.0,10100.0,7600.0,8005.0,8622285.62180432,75248191680.12585
2021-03-25 09:00:00,8005.0,8060.0,7100.0,7455.0,1419032.38859418,10533347540.42086
2021-03-26 09:00:00,7470.0,7795.0,7255.0,7775.0,762505.52954928,5745421443.3356695
2021-03-27 09:00:00,7770.0,8210.0,7430.0,7945.0,992041.68381718,7708378353.758423
2021-03-28 09:00:00,7935.0,8400.0,7630.0,8180.0,1460700.48742119,11775674794.200321
2021-03-29 09:00:00,8180.0,11900.0,8175.0,9010.0,13929098.89463825,128237883834.97707
2021-03-30 09:00:00,9010.0,11400.0,8670.0,9930.0,6700553.01478114,65199372860.3765
2021-03-31 09:00:00,9930.0,10770.0,8995.0,9795.0,3162511.9100651,31042890057.056355
2021-04-01 09:00:00,9795.0,10290.0,9275.0,10230.0,3109567.80727167,30384620143.59014
2021-04-02 09:00:00,10230.0,18480.0,9850.0,15400.0,42520960.0943429,646813531850.8497
2021-04-03 09:00:00,15460.0,16500.0,12550.0,13350.0,12758273.12198422,187969664922.94904
2021-04-04 09:00:00,13350.0,15800.0,13000.0,14040.0,4842187.74577517,69039965238.14908
2021-04-05 09:00:00,14050.0,14280.0,11400.0,11930.0,2868770.90017361,36918912311.23302
2021-04-06 09:00:00,12020.0,12600.0,10210.0,11230.0,2729421.25715349,30456731293.748142
2021-04-07 09:00:00,11210.0,11400.0,6440.0,8680.0,3027661.19185692,26765323100.932568
2021-04-08 09:00:00,8700.0,10730.0,8485.0,10600.0,8056757.6069017,80404005258.85794
2021-04-09 09:00:00,10600.0,13170.0,9995.0,12230.0,5650672.17983398,65342141678.474625
2021-04-10 09:00:00,12230.0,12750.0,10990.0,11440.0,1777215.92699306,20490602684.23332
2021-04-11 09:00:00,11400.0,14430.0,9935.0,12110.0,25543480.52668838,322187165154.3996
2021-04-12 09:00:00,12170.0,12180.0,10890.0,11250.0,2791746.88958827,31556126567.064514
2021-04-13 09:00:00,11250.0,11620.0,10250.0,10690.0,1903560.33310187,20595894074.895916
2021-04-14 09:00:00,10680.0,11110.0,9000.0,9625.0,2374205.57114697,23370415498.70137
2021-04-15 09:00:00,9625.0,10090.0,9310.0,10080.0,1336815.78241732,13017268497.162909
2021-04-16 09:00:00,10080.0,10080.0,8720.0,9160.0,1783054.86638487,16386964804.609142
2021-04-17 09:00:00,9160.0,9210.0,8395.0,9170.0,1193005.04900867,10435131964.356493
2021-04-18 09:00:00,9115.0,9190.0,7500.0,8270.0,1650281.0899569,13424079575.88027
2021-04-19 09:00:00,8285.0,11330.0,8150.0,8845.0,31668113.78733366,305001247470.24603
2021-04-20 09:00:00,8845.0,9405.0,7110.0,8270.0,6350307.11672394,52272769219.55658
2021-04-21 09:00:00,8270.0,9550.0,8155.0,8515.0,4685660.53933991,41147673678.77743
2021-04-22 09:00:00,8515.0,8780.0,5765.0,6465.0,1925958.00603834,14582263534.64299
2021-04-23 09:00:00,6500.0,6795.0,4300.0,6270.0,2680461.39329878,14758504110.638771
2021-04-24 09:00:00,6255.0,6440.0,5580.0,5890.0,1437768.93726668,8606464213.52904
2021-04-25 09:00:00,5890.0,12900.0,5725.0,9000.0,179964725.41539136,1775271720485.492
2021-04-26 09:00:00,9010.0,11890.0,8980.0,9775.0,44626391.70121939,456716637817.2286
2021-04-27 09:00:00,9770.0,10520.0,9030.0,10280.0,18489248.63157359,177487565596.48566
2021-04-28 09:00:00,10260.0,10290.0,8480.0,9490.0,9157319.54697214,85589869317.58235
2021-04-29 09:00:00,9490.0,11450.0,9480.0,10430.0,31996056.80577557,328110393903.71716
2021-04-30 09:00:00,10400.0,10650.0,9710.0,10500.0,8661945.23911997,86973886354.84697
2021-05-01 09:00:00,10510.0,10550.0,9800.0,10160.0,5269983.45425622,53018103506.62922
2021-05-02 09:00:00,10160.0,10160.0,9240.0,9920.0,3731789.03117583,36666573536.02153
2021-05-03 09:00:00,9915.0,10150.0,9750.0,10010.0,6043166.09104495,59977150848.86574
2021-05-04 09:00:00,10000.0,10010.0,8910.0,9170.0,3647853.32538565,34370906939.42998
2021-05-05 09:00:00,9170.0,9235.0,8585.0,9050.0,2907095.92923961,25749706237.861443
2021-05-06 09:00:00,9050.0,9065.0,8135.0,8490.0,2375781.3859128,20394684652.86175
2021-05-07 09:00:00,8485.0,9830.0,7700.0,8550.0,7610010.73154328,65569763235.4708
2021-05-08 09:00:00,8545.0,9085.0,8145.0,8475.0,2457896.31721883,20742108276.45612
2021-05-09 09:00:00,8465.0,9030.0,7835.0,8300.0,2509918.62145601,20814774948.218105
2021-05-10 09:00:00,8270.0,8305.0,7610.0,7800.0,1426776.32299109,11329822827.153156
2021-05-11 09:00:00,7740.0,8685.0,7200.0,8100.0,5171350.88756299,41256066496.488304
2021-05-12 09:00:00,8090.0,8600.0,6655.0,6690.0,5088365.23641637,41111968712.6883
2021-05-13 09:00:00,6745.0,7970.0,6290.0,7230.0,6667781.39717278,49228289697.863556
2021-05-14 09:00:00,7225.0,7575.0,6870.0,7350.0,1404030.19237372,10019043619.811573
2021-05-15 09:00:00,7350.0,7630.0,6850.0,7080.0,1752403.00280955,12735246096.8475
2021-05-16 09:00:00,7080.0,7165.0,6700.0,6875.0,931769.67460686,6477978680.382061
2021-05-17 09:00:00,6875.0,6880.0,5660.0,6190.0,1407715.65477765,8679424939.894762
2021-05-18 09:00:00,6190.0,8295.0,6000.0,6795.0,17846116.27118495,125378076837.75073
2021-05-19 09:00:00,6775.0,8135.0,4065.0,6610.0,35567600.37168882,255613439616.9374
2021-05-20 09:00:00,6595.0,7555.0,5935.0,6930.0,13162325.97316961,86928745709.32207
2021-05-21 09:00:00,6920.0,8150.0,6300.0,7750.0,15755064.00209503,114644296428.60402
2021-05-22 09:00:00,7815.0,9160.0,6710.0,8080.0,21185453.87361865,169646914568.07983
2021-05-23 09:00:00,8080.0,8155.0,5325.0,6790.0,7698538.93976802,52501256250.51174
2021-05-24 09:00:00,6790.0,6960.0,5325.0,6865.0,3872348.92370897,23784642768.40525
2021-05-25 09:00:00,6845.0,8230.0,6050.0,6640.0,4997598.55816832,33664374684.730156
2021-05-26 09:00:00,6635.0,6955.0,6290.0,6810.0,6687344.95349175,43931708369.44597
2021-05-27 09:00:00,6810.0,6810.0,6225.0,6490.0,2420909.49560085,15650428830.839958
2021-05-28 09:00:00,6485.0,6680.0,5520.0,5995.0,3506399.3770133,21310355896.15955
2021-05-29 09:00:00,5995.0,6050.0,5460.0,5760.0,1035694.49423048,5933304597.947688
2021-05-30 09:00:00,5760.0,5800.0,5160.0,5700.0,1048748.00145901,5738787203.795209
2021-05-31 09:00:00,5695.0,5740.0,5280.0,5690.0,1032378.48058809,5680951711.852991
2021-06-01 09:00:00,5690.0,5860.0,5425.0,5555.0,1273560.07138593,7084946414.028235
2021-06-02 09:00:00,5560.0,5745.0,5390.0,5620.0,2324860.58946773,12839471076.494974
2021-06-03 09:00:00,5640.0,5750.0,5455.0,5725.0,1724028.20519754,9680140912.104239
2021-06-04 09:00:00,5725.0,6110.0,5315.0,5810.0,17122237.76719379,99576134241.08882
2021-06-05 09:00:00,5825.0,5830.0,5505.0,5565.0,3233628.87178839,18229047811.35456
2021-06-06 09:00:00,5570.0,6900.0,5485.0,5730.0,24512242.94709323,147172032402.5272
2021-06-07 09:00:00,5715.0,5940.0,5140.0,5165.0,4620896.63820845,26366334473.10675
2021-06-08 09:00:00,5165.0,5450.0,4430.0,4835.0,2141884.8356434,10409405714.503162
2021-06-09 09:00:00,4830.0,5000.0,4530.0,4940.0,1330155.86969001,6315316726.672957
2021-06-10 09:00:00,4940.0,5275.0,4710.0,5035.0,2434120.4164358,12200261104.133072
2021-06-11 09:00:00,5000.0,5185.0,4300.0,4355.0,2374756.39338742,11180039177.963509
2021-06-12 09:00:00,4375.0,4520.0,3355.0,3590.0,2277238.53907626,8325369119.089895
2021-06-13 09:00:00,3565.0,3685.0,3255.0,3680.0,1208168.01192057,4148744847.688167
2021-06-14 09:00:00,3685.0,3920.0,3440.0,3860.0,2142010.43635303,7916821906.89289
2021-06-15 09:00:00,3865.0,3900.0,3670.0,3885.0,1663138.90040657,6283235042.726435
2021-06-16 09:00:00,3890.0,4155.0,3565.0,3715.0,2965973.08382155,11496885935.634691
2021-06-17 09:00:00,3715.0,3780.0,3485.0,3555.0,1054803.69070417,3771479008.915497
2021-06-18 09:00:00,3555.0,3775.0,3180.0,3235.0,2330243.77701056,7963270478.073369
2021-06-19 09:00:00,3235.0,3350.0,3000.0,3125.0,1224649.51024895,3854664656.87271
2021-06-20 09:00:00,3125.0,3300.0,2665.0,2915.0,1922796.25283275,5752632454.41139
2021-06-21 09:00:00,2915.0,2940.0,1895.0,2000.0,2144024.91103582,5210563315.344665
2021-06-22 09:00:00,1990.0,2310.0,1465.0,1735.0,6490138.71266931,11956825039.128105
2021-06-23 09:00:00,1735.0,2090.0,1645.0,1905.0,2784788.10922081,5078201626.191874
2021-06-24 09:00:00,1905.0,2280.0,1860.0,2205.0,8014953.64740296,16830003505.741198
2021-06-25 09:00:00,2200.0,2620.0,2070.0,2130.0,8365474.51337203,19763045989.85119
2021-06-26 09:00:00,2130.0,2175.0,1935.0,2125.0,1122974.03096434,2330510844.033723
2021-06-27 09:00:00,2125.0,2175.0,1970.0,2170.0,1079860.9887689,2246440209.080154
2021-06-28 09:00:00,2145.0,2565.0,2085.0,2500.0,3579143.13565287,8352777203.775989
2021-06-29 09:00:00,2500.0,3000.0,2300.0,2770.0,7630417.0999916,20483502972.55616
2021-06-30 09:00:00,2770.0,3180.0,2555.0,3075.0,8826482.70685803,25591834535.34923
2021-07-01 09:00:00,3085.0,3245.0,2715.0,3240.0,3934750.49413154,11824842449.732685
2021-07-02 09:00:00,3240.0,3240.0,2865.0,3115.0,2976723.95103283,9005696812.34255
2021-07-03 09:00:00,3115.0,4855.0,3110.0,3420.0,40692905.08015192,150593350724.90332
2021-07-04 09:00:00,3420.0,3525.0,3250.0,3460.0,5197895.25504848,17602774183.70897
2021-07-05 09:00:00,3465.0,3760.0,3350.0,3630.0,9652158.38893352,34267169789.814
2021-07-06 09:00:00,3630.0,3670.0,3460.0,3625.0,2593911.51373185,9194293272.516375
2021-07-07 09:00:00,3625.0,3785.0,3545.0,3770.0,3838303.85895998,14040626926.08944
2021-07-08 09:00:00,3770.0,3780.0,3005.0,3225.0,4763220.75331867,15997343619.905588
2021-07-09 09:00:00,3220.0,3230.0,2830.0,3220.0,3052616.57807147,9198984968.531546
2021-07-10 09:00:00,3215.0,3325.0,3045.0,3120.0,1630950.4330484,5168174970.476505
2021-07-11 09:00:00,3120.0,4725.0,3105.0,4465.0,111693113.28389294,473289524755.8511
2021-07-12 09:00:00,4465.0,6485.0,4440.0,5020.0,123325125.77238259,685552703261.1742
2021-07-13 09:00:00,5025.0,5250.0,4140.0,4265.0,14779693.44245312,65135185243.86303
2021-07-14 09:00:00,4290.0,4295.0,3600.0,4085.0,6444654.88927918,24683067282.587086
2021-07-15 09:00:00,4080.0,4550.0,3750.0,3950.0,10740856.6327393,43892004161.4986
2021-07-16 09:00:00,3950.0,4285.0,3400.0,3595.0,4950174.265174,18378011599.14228
2021-07-17 09:00:00,3595.0,3790.0,3270.0,3570.0,3045103.63204869,10574111569.121124
2021-07-18 09:00:00,3570.0,3640.0,3415.0,3605.0,1996048.46912385,6975191326.069726
2021-07-19 09:00:00,3610.0,3610.0,3160.0,3325.0,3000887.66255819,10101652566.639145
2021-07-20 09:00:00,3320.0,3570.0,2720.0,3005.0,19470177.31312635,63042149991.35306
2021-07-21 09:00:00,3005.0,3285.0,2855.0,3250.0,7620771.058669,23540740930.027912
2021-07-22 09:00:00,3255.0,3450.0,3120.0,3370.0,5862588.87028381,19256676940.829494
2021-07-23 09:00:00,3355.0,3625.0,3305.0,3570.0,9140736.36975557,31717977152.919933
2021-07-24 09:00:00,3565.0,3895.0,3470.0,3730.0,10682201.02619411,39120517422.340904
2021-07-25 09:00:00,3730.0,4535.0,3685.0,4385.0,40440410.01742144,165677640356.1245
2021-07-26 09:00:00,4385.0,4485.0,3765.0,3965.0,14683740.60740514,59262076530.77524
2021-07-27 09:00:00,3960.0,4080.0,3600.0,3955.0,5692378.13779378,21820340994.069878
2021-07-28 09:00:00,3945.0,4340.0,3815.0,4000.0,10946699.00554927,44099007972.0179
2021-07-29 09:00:00,4000.0,5790.0,3815.0,4355.0,67989905.02295528,311278417661.4888
2021-07-30 09:00:00,4355.0,4825.0,3970.0,4360.0,23500396.18194968,103106383925.57759
2021-07-31 09:00:00,4360.0,4385.0,4205.0,4330.0,5164300.22163269,22121731488.619278
2021-08-01 09:00:00,4345.0,4375.0,4105.0,4225.0,5029512.33682404,21429887791.243362
2021-08-02 09:00:00,4230.0,4270.0,4015.0,4240.0,3379301.75793443,13969762367.802578
2021-08-03 09:00:00,4245.0,4595.0,3980.0,4170.0,6345544.33733557,26985037884.927162
2021-08-04 09:00:00,4170.0,4280.0,4035.0,4190.0,4348824.72515505,18057914930.30591
2021-08-05 09:00:00,4190.0,4225.0,4070.0,4220.0,3337984.54593048,13858551575.734558
2021-08-06 09:00:00,4220.0,4445.0,4115.0,4410.0,8850362.30437233,38295475385.17236
2021-08-07 09:00:00,4410.0,4765.0,4355.0,4640.0,9794619.40282271,45126542293.51032
2021-08-08 09:00:00,4635.0,4680.0,4440.0,4500.0,3105974.63911671,14051631975.315685
2021-08-09 09:00:00,4505.0,4635.0,4200.0,4585.0,5123897.76552261,22809425679.23239
2021-08-10 09:00:00,4575.0,4975.0,4460.0,4730.0,22045514.63755237,105000805729.20425
2021-08-11 09:00:00,4730.0,4920.0,4600.0,4860.0,9036544.36698159,43207137676.32624
2021-08-12 09:00:00,4860.0,5165.0,4450.0,4720.0,11676013.63483666,56977715501.45515
2021-08-13 09:00:00,4715.0,4950.0,4605.0,4900.0,4153696.49754466,19838051306.62617
2021-08-14 09:00:00,4900.0,5300.0,4780.0,5080.0,17505113.64873855,88622462429.17256
2021-08-15 09:00:00,5075.0,5315.0,4900.0,5130.0,9986856.63519666,51181271026.499275
2021-08-16 09:00:00,5130.0,5185.0,4975.0,5060.0,4231360.53877839,21387329734.707928
2021-08-17 09:00:00,5065.0,5235.0,4700.0,4780.0,9217864.53221651,46605127135.35701
2021-08-18 09:00:00,4790.0,4945.0,4515.0,4640.0,5315983.07728149,25122725624.15751
2021-08-19 09:00:00,4640.0,4765.0,4420.0,4765.0,2409755.78902891,11018845490.691076
2021-08-20 09:00:00,4750.0,4885.0,4695.0,4865.0,2840523.40537547,13594174110.703682
2021-08-21 09:00:00,4865.0,4970.0,4770.0,4905.0,3819386.22371847,18589377568.276237
2021-08-22 09:00:00,4910.0,5050.0,4720.0,4870.0,3488712.4399133,17114488598.567968
2021-08-23 09:00:00,4870.0,5380.0,4770.0,5345.0,11398510.76562114,57940260395.58599
2021-08-24 09:00:00,5345.0,5630.0,5065.0,5345.0,12052786.67360005,64633315120.79997
2021-08-25 09:00:00,5345.0,5475.0,4875.0,5420.0,6756966.2607782,35001928208.212906
2021-08-26 09:00:00,5415.0,5420.0,4920.0,4995.0,4468772.67761786,22778805974.657314
2021-08-27 09:00:00,4995.0,5370.0,4700.0,5160.0,6654244.80075898,32944218904.825718
2021-08-28 09:00:00,5160.0,5165.0,4970.0,5070.0,2591654.03038254,13063214067.421339
2021-08-29 09:00:00,5075.0,5075.0,4840.0,4990.0,2630731.35220663,12976995552.589207
2021-08-30 09:00:00,5000.0,5155.0,4855.0,4930.0,5102882.61343029,25401675850.568024
2021-08-31 09:00:00,4925.0,5270.0,4825.0,5110.0,8279477.75712752,41809637102.56106
2021-09-01 09:00:00,5110.0,5415.0,4875.0,5205.0,8450129.57376772,43159629634.29193
2021-09-02 09:00:00,5205.0,5950.0,5185.0,5375.0,19042068.48213857,104231004673.26474
2021-09-03 09:00:00,5375.0,5685.0,5220.0,5615.0,8195832.8538623,44736826360.968864
2021-09-04 09:00:00,5620.0,5900.0,5465.0,5900.0,7596698.25448261,43424483854.6917
2021-09-05 09:00:00,5895.0,7645.0,5390.0,5820.0,34093707.78556619,221398538885.94742
2021-09-06 09:00:00,5820.0,6125.0,5585.0,5940.0,5769444.52336951,33962142752.983845
2021-09-07 09:00:00,5925.0,6085.0,4285.0,4910.0,7119940.24522266,38704550846.93026
2021-09-08 09:00:00,4925.0,5050.0,4200.0,4850.0,4245131.66829933,19504622387.10596
2021-09-09 09:00:00,4850.0,5120.0,4650.0,5095.0,2487084.6339994,12195719740.828672
2021-09-10 09:00:00,5100.0,5780.0,4695.0,4925.0,8637358.58723204,45723313365.82789
2021-09-11 09:00:00,4925.0,5050.0,4710.0,4890.0,1131791.55527973,5502154129.557986
2021-09-12 09:00:00,4890.0,5190.0,4815.0,5035.0,4496759.52156584,22585873643.25685
2021-09-13 09:00:00,5015.0,5035.0,4520.0,4690.0,2063597.05410821,9757439084.704845
2021-09-14 09:00:00,4695.0,4845.0,4535.0,4815.0,1186009.97988692,5561672484.1565695
2021-09-15 09:00:00,4815.0,4885.0,4685.0,4865.0,1101496.26910744,5262287759.37542
2021-09-16 09:00:00,4860.0,5085.0,4800.0,4945.0,3642603.32967885,18047253813.813545
2021-09-17 09:00:00,4945.0,4970.0,4730.0,4905.0,1513408.67502337,7366341942.912505
2021-09-18 09:00:00,4900.0,4950.0,4825.0,4935.0,686595.37835875,3358717384.5632133
2021-09-19 09:00:00,4935.0,5050.0,4710.0,4800.0,1258923.18111213,6112974602.571036
2021-09-20 09:00:00,4800.0,4800.0,3950.0,4095.0,2422032.01170583,10570958255.220306
2021-09-21 09:00:00,4110.0,4210.0,3610.0,3680.0,2125265.49352431,8320565816.635671
2021-09-22 09:00:00,3680.0,4080.0,3430.0,4050.0,2052750.47504878,7731580397.103969
2021-09-23 09:00:00,4060.0,4200.0,3750.0,4080.0,1588624.55532328,6363436151.962899
2021-09-24 09:00:00,4075.0,4225.0,3605.0,3835.0,2699291.46838162,10713787344.953056
2021-09-25 09:00:00,3820.0,3880.0,3585.0,3830.0,1393414.68142598,5209505812.553877
2021-09-26 09:00:00,3795.0,3985.0,3500.0,3670.0,2121747.30018973,7918530077.541609
2021-09-27 09:00:00,3665.0,3750.0,3520.0,3560.0,1561791.87357806,5592449432.706654
2021-09-28 09:00:00,3555.0,3685.0,3250.0,3270.0,2131980.56618677,7295296870.6451025
2021-09-29 09:00:00,3255.0,3385.0,3115.0,3295.0,1521701.81875204,4979016257.379799
2021-09-30 09:00:00,3275.0,4025.0,3245.0,3605.0,6001342.51233627,21473069608.63719
2021-10-01 09:00:00,3590.0,3960.0,3570.0,3920.0,6539063.88922816,24757464272.933044
2021-10-02 09:00:00,3910.0,4150.0,3770.0,4090.0,2975755.33547292,11899190195.658684
2021-10-03 09:00:00,4090.0,4145.0,3950.0,4115.0,2035744.7342135,8270312784.098153
2021-10-04 09:00:00,4115.0,4115.0,3820.0,4005.0,2779545.06652536,10964045300.953503
2021-10-05 09:00:00,4000.0,4910.0,3875.0,4320.0,25498252.46259717,111227081813.43013
