2022-12-21 09:00:00,17440.0,17690.0,17000.0,17380.0,161818.88327446,2809798781.119129
2022-12-22 09:00:00,17330.0,17540.0,16780.0,17170.0,102315.19095338,1757116810.5331643
2022-12-23 09:00:00,17150.0,17230.0,16950.0,17190.0,59115.88711273,1010776717.9329407
2022-12-24 09:00:00,17210.0,17260.0,17050.0,17160.0,43948.76137336,754048345.4703062
2022-12-25 09:00:00,17150.0,17150.0,16550.0,16810.0,65731.84044643,1110555330.0926511
2022-12-26 09:00:00,16780.0,17060.0,16130.0,16550.0,121593.54178899,2005396764.1659958
2022-12-27 09:00:00,16550.0,16550.0,16000.0,16150.0,77865.4515723,1260950574.830832
2022-12-28 09:00:00,16140.0,16150.0,14930.0,15100.0,162897.96304965,2495915056.49582
2022-12-29 09:00:00,15080.0,15690.0,14820.0,15450.0,305209.40801389,4668394844.628532
2022-12-30 09:00:00,15430.0,15750.0,14460.0,14850.0,188020.4581591,2834589498.345144
2022-12-31 09:00:00,14850.0,15010.0,14690.0,14830.0,75870.00100425,1126483910.3114367
2023-01-01 09:00:00,14830.0,14960.0,14760.0,14930.0,39840.81107857,591530065.2844479
2023-01-02 09:00:00,14930.0,15290.0,14610.0,15190.0,131535.08124618,1971358401.9924724
2023-01-03 09:00:00,15170.0,15480.0,15050.0,15260.0,121035.46252734,1850663279.3880613
2023-01-04 09:00:00,15260.0,17050.0,15230.0,16670.0,1741696.9765147,28654905781.097897
2023-01-05 09:00:00,16600.0,19520.0,16590.0,17620.0,2928702.76361623,52791248594.11859
2023-01-06 09:00:00,17620.0,18000.0,16240.0,17800.0,678701.42585836,11563575499.846813
2023-01-07 09:00:00,17800.0,18850.0,17300.0,17640.0,976229.54916949,17672860387.0562
2023-01-08 09:00:00,17640.0,17750.0,17170.0,17710.0,314219.40000794,5463746386.535578
2023-01-09 09:00:00,17710.0,18130.0,17400.0,17760.0,618032.48151005,11005145774.864685
2023-01-10 09:00:00,17760.0,18610.0,17260.0,17970.0,706079.13385428,12694929105.087738
2023-01-11 09:00:00,17960.0,18290.0,17440.0,18130.0,259156.07471882,4610855421.813993
2023-01-12 09:00:00,18130.0,19630.0,17870.0,19020.0,2111826.96855639,39591072918.24103
2023-01-13 09:00:00,19040.0,20150.0,18920.0,19800.0,1406854.3764047,27486813347.777313
2023-01-14 09:00:00,19810.0,20750.0,18770.0,20390.0,1477648.16667236,29654872376.20032
2023-01-15 09:00:00,20400.0,20400.0,19250.0,19950.0,555821.97972325,10970330510.801296
2023-01-16 09:00:00,19950.0,20270.0,19030.0,19750.0,393080.94606226,7731030553.777175
2023-01-17 09:00:00,19750.0,21250.0,19470.0,20060.0,1259873.34324068,25505055622.79537
2023-01-18 09:00:00,20020.0,20670.0,18680.0,18840.0,610199.4577394,12068912500.184769
2023-01-19 09:00:00,18790.0,19310.0,18690.0,19300.0,194102.69235532,3680866040.116672
2023-01-20 09:00:00,19300.0,20600.0,19160.0,20550.0,796532.38955291,15773683201.468426
2023-01-21 09:00:00,20540.0,21090.0,20040.0,20270.0,679743.52733966,13922458267.35417
2023-01-22 09:00:00,20270.0,21300.0,20150.0,20840.0,843782.83751455,17537678192.047073
2023-01-23 09:00:00,20840.0,22210.0,20600.0,21310.0,1387823.84957747,29731600019.43101
2023-01-24 09:00:00,21240.0,22390.0,19700.0,20110.0,835073.37186081,17815709198.129753
2023-01-25 09:00:00,20110.0,20900.0,19500.0,20450.0,534710.45354138,10776039019.519981
2023-01-26 09:00:00,20440.0,25000.0,20440.0,22390.0,7383185.10876863,167818147385.88525
2023-01-27 09:00:00,22350.0,23650.0,21270.0,21950.0,1547268.43622594,34628985518.222176
2023-01-28 09:00:00,21940.0,22520.0,21310.0,21620.0,451808.36752131,9879514518.664686
2023-01-29 09:00:00,21630.0,22140.0,21330.0,22090.0,597574.53285015,13008235213.567543
2023-01-30 09:00:00,22090.0,22350.0,20100.0,20540.0,446323.798769,9530383147.160868
2023-01-31 09:00:00,20540.0,21240.0,20030.0,20840.0,450456.84322015,9314138196.840927
2023-02-01 09:00:00,20770.0,21430.0,20010.0,21310.0,365509.80391392,7554671666.568625
2023-02-02 09:00:00,21310.0,22050.0,21100.0,21330.0,473255.49442173,10167483603.924545
2023-02-03 09:00:00,21330.0,21870.0,21060.0,21790.0,427299.26576016,9188065303.944826
2023-02-04 09:00:00,21710.0,22640.0,21560.0,22160.0,675504.76705495,14957690720.874338
2023-02-05 09:00:00,22160.0,23460.0,20710.0,21750.0,1964331.87915642,43966291806.83565
2023-02-06 09:00:00,21710.0,22160.0,21400.0,21850.0,344733.2275633,7497033835.505195
2023-02-07 09:00:00,21850.0,22300.0,21400.0,22260.0,302440.82082121,6576497376.759973
2023-02-08 09:00:00,22250.0,22980.0,21600.0,22200.0,560660.14249055,12593464599.317892
2023-02-09 09:00:00,22160.0,23750.0,21240.0,21640.0,1151842.39384932,25903729895.950954
2023-02-10 09:00:00,21560.0,21780.0,20700.0,21350.0,313255.08815732,6666463826.354858
2023-02-11 09:00:00,21340.0,22350.0,21280.0,21750.0,394520.81460512,8581897946.04019
2023-02-12 09:00:00,21760.0,22020.0,21240.0,21360.0,212474.53465783,4589736656.933402
2023-02-13 09:00:00,21310.0,21410.0,19870.0,20850.0,218755.63581676,4498008675.089764
2023-02-14 09:00:00,20850.0,21300.0,19930.0,21150.0,273639.14569382,5645438532.288586
2023-02-15 09:00:00,21150.0,22470.0,20810.0,22430.0,367004.69144687,7912189548.635316
2023-02-16 09:00:00,22430.0,22750.0,21520.0,21660.0,578520.80500678,12898937551.384768
2023-02-17 09:00:00,21660.0,22760.0,21520.0,22670.0,331865.35952359,7348189726.092579
2023-02-18 09:00:00,22670.0,23580.0,22350.0,23040.0,846628.72981037,19524410061.917038
2023-02-19 09:00:00,23040.0,23370.0,22640.0,22990.0,420825.59570455,9679182990.092022
2023-02-20 09:00:00,22940.0,23950.0,22320.0,23810.0,810623.46431827,18968096603.837906
2023-02-21 09:00:00,23820.0,28410.0,23810.0,25280.0,8731649.10829874,229480579405.37134
2023-02-22 09:00:00,25270.0,25400.0,23680.0,24390.0,925740.97287695,22512248294.865467
2023-02-23 09:00:00,24370.0,24390.0,23420.0,23710.0,367129.05446611,8755253988.18355
2023-02-24 09:00:00,23750.0,24330.0,22610.0,22920.0,497135.39519314,11657297046.898863
2023-02-25 09:00:00,22910.0,23290.0,22170.0,22980.0,268494.27379566,6095363708.5042305
2023-02-26 09:00:00,22940.0,23210.0,22430.0,23200.0,124352.43067336,2843007468.7726903
2023-02-27 09:00:00,23170.0,23220.0,22620.0,23040.0,171181.20361297,3921058072.3263183
2023-02-28 09:00:00,23040.0,23040.0,22720.0,22760.0,32881.67398419,751180938.8971983
